P1A-P,PAI-K,PKN-P,PKN-K,INDO-P,NDO-K,MTK-P,MTK-K,IPA-P,IPA-K,IPS-P,IPS-K,ING-P,ING-K,SB-P,SB-K,OR-P,OR-K,PRA-P,PRA-K,MLB-P,MLB-K
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
